room_id,host_id,room_type,country,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,location
12270642,22931450,Shared room,,San Francisco,North Beach,29,4.5,2,1,,80,,37.799248,-122.404596,0101000020E6100000EA059FE6E4995EC05BB22AC24DE64240
17894683,12883461,Shared room,,San Francisco,North Beach,xxx,0,1,1,,70,,37.79912,-122.405929,0101000020E6100000DFDFA0BDFA995EC02ECA6C9049E64240
6433637,3673651,Shared room,,San Francisco,Mission,3,4.5,1,1,,75,,37.749619,-122.420938,0101000020E610000032E9EFA5F09A5EC0E9BAF083F3DF4240
8377605,9744251,Shared room,,San Francisco,Western Addition,8,4.5,14,1,,69,,37.784029,-122.423548,0101000020E6100000511212691B9B5EC0CB0EF10F5BE44240
8277136,7386041,Shared room,,San Francisco,South of Market,1,0,1,1,,72,,37.778446,-122.394132,0101000020E6100000A7936C7539995EC0DCD9571EA4E34240
14383718,69249358,Shared room,,San Francisco,Western Addition,3,5,1,1,,75,,37.783098,-122.445781,0101000020E6100000670B08AD879C5EC011C8258E3CE44240
7902889,4261846,Shared room,,San Francisco,South of Market,104,5,1,1,,75,,37.78594,-122.394088,0101000020E6100000BFEFDFBC38995EC0224F92AE99E44240
12857179,329072,Shared room,,San Francisco,Financial District,17,4.5,4,1,,45,,37.794714,-122.403286,0101000020E6100000D13B1570CF995EC030D63730B9E54240
786492,329072,Shared room,,San Francisco,Financial District,76,4.5,4,1,,45,,37.794208,-122.403105,0101000020E6100000A9F6E978CC995EC05C1C959BA8E54240
10070717,51673718,Shared room,,San Francisco,Visitacion Valley,20,4.5,1,1,,45,,37.713016,-122.413767,0101000020E6100000804A95287B9A5EC02BC3B81B44DB4240
229240,329072,Shared room,,San Francisco,Financial District,204,4.5,4,1,,45,,37.793414,-122.403399,0101000020E61000004D0F0A4AD1995EC0221807978EE54240
12853799,329072,Shared room,,San Francisco,Financial District,25,4.5,4,1,,45,,37.793477,-122.40335,0101000020E6100000DDB5847CD0995EC0699082A790E54240
12857011,329072,Shared room,,San Francisco,Financial District,13,4.5,4,1,,45,,37.793246,-122.403262,0101000020E61000000D6E6B0BCF995EC067D7BD1589E54240
12857087,329072,Shared room,,San Francisco,Financial District,14,4.5,4,1,,45,,37.794541,-122.403149,0101000020E6100000919A7631CD995EC0632AFD84B3E54240
4464347,22931450,Shared room,,San Francisco,North Beach,164,4.5,4,1,,42,,37.798914,-122.406113,0101000020E6100000C05E61C1FD995EC085285FD042E64240
10070425,51673718,Shared room,,San Francisco,Visitacion Valley,23,4.5,1,1,,45,,37.714797,-122.413706,0101000020E61000002D0ABB287A9A5EC0B323D5777EDB4240
241235,329072,Shared room,,San Francisco,Financial District,199,4.5,4,1,,45,,37.792708,-122.403826,0101000020E610000091D10149D8995EC087A3AB7477E54240
5196399,23278,Shared room,,San Francisco,Mission,128,5,1,1,,49,,37.756869,-122.414603,0101000020E6100000B47405DB889A5EC0992D5915E1E04240
4890230,22931450,Shared room,,San Francisco,North Beach,105,4.5,4,1,,47,,37.798751,-122.404756,0101000020E610000007B7B585E7995EC0DB5207793DE64240
10070413,51673718,Shared room,,San Francisco,Visitacion Valley,15,4.5,1,1,,45,,37.714033,-122.413627,0101000020E6100000876F61DD789A5EC0E4A1EF6E65DB4240
15009918,5215966,Shared room,,San Francisco,Outer Sunset,14,4.5,1,1,,45,,37.754143,-122.493243,0101000020E6100000C87E164B919F5EC0F0C000C287E04240
72444,329072,Shared room,,San Francisco,Financial District,198,4.5,4,1,,45,,37.793088,-122.404431,0101000020E6100000459F8F32E2995EC0CE6C57E883E54240
